出现时间,高关注度时间,政策,地点
2020-01-26,2020-02-04,方便面,贵州
2020-01-23,2020-02-05,方便面,山西
2020-01-22,2020-02-03,方便面,辽宁
2020-01-26,2020-02-06,方便面,广西
2020-01-24,2020-02-03,方便面,河北
2020-01-24,2020-02-12,方便面,天津
2020-01-24,2020-02-05,方便面,云南
2020-01-25,2020-02-01,方便面,宁夏
2020-01-23,2020-02-04,方便面,吉林
2020-01-21,2020-02-04,方便面,甘肃
2020-01-15,2020-02-02,方便面,边远地区
2020-01-20,2020-02-04,方便面,海南
2020-01-16,2020-02-04,方便面,新疆
2020-01-24,2020-02-04,方便面,青海
2020-01-23,2020-02-02,方便面,西藏
2020-01-19,2020-01-31,生活必需品,湖北
2020-01-14,2020-01-26,生活必需品,环鄂地区
2020-01-21,2020-02-06,生活必需品,河南
2020-01-18,2020-01-28,生活必需品,湖南
2020-01-19,2020-01-26,生活必需品,江西
2020-01-24,2020-01-27,生活必需品,陕西
2020-01-18,2020-01-31,生活必需品,安徽
2020-01-19,2020-01-25,生活必需品,重庆
2020-01-14,2020-01-28,生活必需品,四川
2020-01-12,2020-01-28,生活必需品,沿海发达地区
2020-01-13,2020-01-28,生活必需品,广东
2020-01-21,2020-01-29,生活必需品,浙江
2020-01-19,2020-01-29,生活必需品,山东
2020-01-18,2020-01-29,生活必需品,北京
2020-01-21,2020-02-09,生活必需品,上海
2020-01-22,2020-02-03,生活必需品,福建
2020-01-21,2020-02-01,生活必需品,江苏
2020-01-15,2020-01-30,生活必需品,普通地区
2020-01-25,2020-02-05,生活必需品,内蒙古
2020-01-22,2020-02-02,生活必需品,黑龙江
2020-01-15,2020-02-07,生活必需品,贵州
2020-01-24,2020-02-01,生活必需品,山西
2020-01-24,2020-02-08,生活必需品,辽宁
2020-01-23,2020-01-30,生活必需品,广西
2020-01-23,2020-01-29,生活必需品,河北
2020-01-19,2020-01-27,生活必需品,天津
2020-01-20,2020-02-03,生活必需品,云南
2020-01-19,2020-02-01,生活必需品,宁夏
2020-01-19,2020-01-31,生活必需品,吉林
2020-01-19,2020-02-02,生活必需品,甘肃
2020-01-19,2020-01-31,生活必需品,边远地区
2020-01-21,2020-01-31,生活必需品,海南
2020-01-19,2020-02-01,生活必需品,新疆
2020-01-19,2020-01-28,生活必需品,青海
2020-01-22,2020-02-03,生活必需品,西藏
2019-12-21,2020-01-26,消毒液,湖北
2020-01-18,2020-01-31,消毒液,环鄂地区
2020-01-19,2020-02-01,消毒液,河南
2020-01-19,2020-01-31,消毒液,湖南
2020-01-18,2020-01-29,消毒液,江西
2020-01-19,2020-01-31,消毒液,陕西
2020-01-20,2020-01-31,消毒液,安徽
2020-01-19,2020-01-31,消毒液,重庆
2020-01-19,2020-02-01,消毒液,四川
2020-01-14,2020-01-30,消毒液,沿海发达地区
2020-01-17,2020-02-02,消毒液,广东
2020-01-17,2020-02-01,消毒液,浙江
2020-01-18,2020-01-30,消毒液,山东
2020-01-14,2020-01-29,消毒液,北京
2020-01-19,2020-01-28,消毒液,上海
2020-01-20,2020-02-01,消毒液,福建
2020-01-17,2020-01-31,消毒液,江苏
2020-01-15,2020-02-01,消毒液,普通地区
2020-01-16,2020-02-01,消毒液,内蒙古
2020-01-20,2020-01-31,消毒液,黑龙江
2020-01-19,2020-02-03,消毒液,贵州
2020-01-15,2020-02-02,消毒液,山西
2020-01-18,2020-02-01,消毒液,辽宁
2020-01-19,2020-02-01,消毒液,广西
2020-01-19,2020-02-01,消毒液,河北
2020-01-19,2020-01-30,消毒液,天津
2020-01-19,2020-02-03,消毒液,云南
2020-01-20,2020-02-01,消毒液,宁夏
2020-01-20,2020-02-01,消毒液,吉林
2020-01-21,2020-02-04,消毒液,甘肃
2020-01-17,2020-02-01,消毒液,边远地区
2020-01-17,2020-01-31,消毒液,海南
2020-01-22,2020-02-02,消毒液,新疆
2020-01-21,2020-02-03,消毒液,青海
2020-01-22,2020-01-23,消毒液,西藏
2019-12-31,2020-01-25,试剂盒,湖北
2020-01-14,2020-01-29,试剂盒,环鄂地区
2020-01-18,2020-02-01,试剂盒,河南
2020-01-17,2020-01-28,试剂盒,湖南
2020-01-24,2020-01-27,试剂盒,江西
2020-01-19,2020-02-02,试剂盒,陕西
2020-01-19,2020-02-03,试剂盒,安徽
2020-01-14,2020-03-02,试剂盒,重庆
2020-01-19,2020-02-03,试剂盒,四川
2020-01-12,2020-01-25,试剂盒,沿海发达地区
2020-01-12,2020-01-19,试剂盒,广东
2020-01-14,2020-01-28,试剂盒,浙江
2020-01-19,2020-01-26,试剂盒,山东
2020-01-13,2020-02-29,试剂盒,北京
2020-01-13,2020-01-23,试剂盒,上海
2020-01-20,2020-02-03,试剂盒,福建
2020-01-15,2020-01-25,试剂盒,江苏
2020-01-15,2020-01-25,试剂盒,普通地区
2020-01-16,2020-01-23,试剂盒,内蒙古
2020-01-21,2020-01-27,试剂盒,黑龙江
2020-01-23,2020-01-30,试剂盒,贵州
2020-01-19,2020-01-21,试剂盒,山西
2020-01-18,2020-02-01,试剂盒,辽宁
2020-01-18,2020-02-18,试剂盒,广西
2020-01-21,2020-01-31,试剂盒,河北
2020-01-18,2020-01-25,试剂盒,天津
2020-01-16,2020-01-29,试剂盒,云南
2020-01-23,2020-01-27,试剂盒,宁夏
2020-01-19,2020-01-26,试剂盒,吉林
2020-01-16,2020-02-16,试剂盒,甘肃
2020-01-17,2020-02-03,试剂盒,边远地区
2020-01-18,2020-02-04,试剂盒,海南
2020-01-23,2020-01-31,试剂盒,新疆
2020-01-18,2020-01-22,试剂盒,青海
2020-01-22,2020-01-27,试剂盒,西藏
2019-12-21,2020-01-28,饮食,湖北
2020-01-14,2020-02-02,饮食,环鄂地区
2020-01-18,2020-02-02,饮食,河南
2020-01-14,2020-01-29,饮食,湖南
2020-01-14,2020-02-05,饮食,江西
2020-01-15,2020-02-05,饮食,陕西
2020-01-15,2020-01-26,饮食,安徽
2020-01-19,2020-02-04,饮食,重庆
2020-01-14,2020-02-24,饮食,四川
2020-01-12,2020-02-02,饮食,沿海发达地区
2020-01-12,2020-02-11,饮食,广东
2020-01-14,2020-02-01,饮食,浙江
2020-01-14,2020-02-02,饮食,山东
2020-01-13,2020-02-02,饮食,北京
2020-01-19,2020-01-27,饮食,上海
2020-01-19,2020-02-07,饮食,福建
2020-01-15,2020-02-12,饮食,江苏
2020-01-15,2020-01-31,饮食,普通地区
2020-01-22,2020-01-31,饮食,内蒙古
2020-01-15,2020-02-04,饮食,黑龙江
2020-01-19,2020-02-04,饮食,贵州
2020-01-15,2020-02-09,饮食,山西
2020-01-15,2020-02-02,饮食,辽宁
2020-01-15,2020-01-31,饮食,广西
2020-01-18,2020-02-03,饮食,河北
2020-01-21,2020-01-31,饮食,天津
2020-01-18,2020-01-28,饮食,云南
2020-01-23,2020-02-21,饮食,宁夏
2020-01-15,2020-02-10,饮食,吉林
2020-01-18,2020-02-18,饮食,甘肃
2020-01-15,2020-02-02,饮食,边远地区
2020-01-15,2020-01-30,饮食,海南
2020-01-18,2020-02-13,饮食,新疆
2020-01-19,2020-02-13,饮食,青海
2020-01-22,2020-02-01,饮食,西藏
2019-12-01,2020-01-30,药物,湖北
2020-01-14,2020-01-31,药物,环鄂地区
2020-01-14,2020-01-31,药物,河南
2020-01-14,2020-02-05,药物,湖南
2020-01-14,2020-02-01,药物,江西
2020-01-15,2020-02-02,药物,陕西
2020-01-15,2020-02-01,药物,安徽
2020-01-14,2020-02-01,药物,重庆
2020-01-14,2020-01-31,药物,四川
2020-01-12,2020-01-31,药物,沿海发达地区
2020-01-12,2020-02-14,药物,广东
2020-01-14,2020-02-03,药物,浙江
2020-01-14,2020-01-30,药物,山东
2020-01-13,2020-01-27,药物,北京
2020-01-13,2020-01-31,药物,上海
2020-01-15,2020-02-20,药物,福建
2020-01-15,2020-01-31,药物,江苏
2020-01-15,2020-01-31,药物,普通地区
2020-01-22,2020-02-13,药物,内蒙古
2020-01-15,2020-02-01,药物,黑龙江
2020-01-15,2020-01-31,药物,贵州
2020-01-15,2020-02-03,药物,山西
2020-01-15,2020-01-30,药物,辽宁
2020-01-17,2020-02-02,药物,广西
2020-01-15,2020-01-26,药物,河北
2020-01-18,2020-02-01,药物,天津
2020-01-16,2020-01-30,药物,云南
2020-01-16,2020-02-05,药物,宁夏
2020-01-15,2020-01-31,药物,吉林
2020-01-18,2020-02-03,药物,甘肃
2020-01-15,2020-02-01,药物,边远地区
2020-01-18,2020-01-31,药物,海南
2020-01-16,2020-02-15,药物,新疆
2020-01-18,2020-02-12,药物,青海
2020-01-22,2020-01-31,药物,西藏
2019-12-19,2020-01-31,居家隔离,湖北
2020-01-17,2020-02-01,居家隔离,环鄂地区
2020-01-20,2020-02-02,居家隔离,河南
2020-01-21,2020-01-31,居家隔离,湖南
2020-01-20,2020-02-02,居家隔离,江西
2020-01-20,2020-02-03,居家隔离,陕西
2020-01-17,2020-01-31,居家隔离,安徽
2020-01-23,2020-02-03,居家隔离,重庆
2020-01-21,2020-02-03,居家隔离,四川
2020-01-18,2020-02-02,居家隔离,沿海发达地区
2020-01-19,2020-02-03,居家隔离,广东
2020-01-21,2020-02-04,居家隔离,浙江
2020-01-18,2020-01-31,居家隔离,山东
2020-01-21,2020-02-21,居家隔离,北京
2020-01-19,2020-02-02,居家隔离,上海
2020-01-22,2020-02-03,居家隔离,福建
2020-01-22,2020-02-01,居家隔离,江苏
2020-01-19,2020-02-02,居家隔离,普通地区
2020-01-20,2020-02-05,居家隔离,内蒙古
2020-01-20,2020-02-03,居家隔离,黑龙江
2020-01-21,2020-02-07,居家隔离,贵州
2020-01-19,2020-02-02,居家隔离,山西
2020-01-22,2020-01-30,居家隔离,辽宁
2020-01-21,2020-02-01,居家隔离,广西
2020-01-19,2020-02-05,居家隔离,河北
2020-01-22,2020-02-04,居家隔离,天津
2020-01-22,2020-02-01,居家隔离,云南
2020-01-19,2020-02-25,居家隔离,宁夏
2020-01-19,2020-02-03,居家隔离,吉林
2020-01-20,2020-02-03,居家隔离,甘肃
2020-01-21,2020-02-01,居家隔离,边远地区
2020-01-23,2020-02-02,居家隔离,海南
2020-01-22,2020-01-31,居家隔离,新疆
2020-01-21,2020-02-01,居家隔离,青海
2020-01-22,2020-01-29,居家隔离,西藏
2020-01-16,2020-01-21,测温仪,湖北
2020-01-18,2020-01-31,测温仪,环鄂地区
2020-01-18,2020-01-25,测温仪,河南
2020-01-19,2020-02-08,测温仪,湖南
2020-01-20,2020-02-02,测温仪,江西
2020-01-21,2020-02-09,测温仪,陕西
2020-01-19,2020-01-25,测温仪,安徽
2020-01-22,2020-01-27,测温仪,重庆
2020-01-19,2020-01-31,测温仪,四川
2020-01-17,2020-01-31,测温仪,沿海发达地区
2020-01-17,2020-02-04,测温仪,广东
2020-01-19,2020-01-31,测温仪,浙江
2020-01-19,2020-01-29,测温仪,山东
2020-01-17,2020-01-30,测温仪,北京
2020-01-19,2020-02-01,测温仪,上海
2020-01-19,2020-02-11,测温仪,福建
2020-01-19,2020-02-06,测温仪,江苏
2020-01-18,2020-01-29,测温仪,普通地区
2020-01-21,2020-02-01,测温仪,内蒙古
2020-01-19,2020-01-31,测温仪,黑龙江
2020-01-18,2020-02-01,测温仪,贵州
2020-01-24,2020-01-29,测温仪,山西
2020-01-22,2020-01-28,测温仪,辽宁
2020-01-21,2020-01-31,测温仪,广西
2020-01-20,2020-02-01,测温仪,河北
2020-01-18,2020-01-30,测温仪,天津
2020-01-22,2020-02-02,测温仪,云南
2020-01-19,2020-01-26,测温仪,宁夏
2020-01-20,2020-01-23,测温仪,吉林
2020-01-21,2020-02-02,测温仪,甘肃
2020-01-19,2020-02-03,测温仪,边远地区
2020-01-19,2020-02-03,测温仪,海南
2020-01-19,2020-01-31,测温仪,新疆
2020-01-19,2020-01-27,测温仪,青海
2020-01-26,2020-03-02,测温仪,西藏
2019-12-02,2020-01-22,抗生素,湖北
2020-01-14,2020-01-24,抗生素,环鄂地区
2020-01-14,2020-01-31,抗生素,河南
2020-01-14,2020-01-22,抗生素,湖南
2020-01-26,2020-02-01,抗生素,江西
2020-01-29,2020-02-02,抗生素,陕西
2020-02-07,2020-02-09,抗生素,安徽
2020-01-18,2020-02-04,抗生素,重庆
2020-01-14,2020-01-23,抗生素,四川
2020-01-12,2020-01-26,抗生素,沿海发达地区
2020-01-13,2020-01-21,抗生素,广东
2020-01-17,2020-02-02,抗生素,浙江
2020-01-18,2020-01-28,抗生素,山东
2020-01-13,2020-01-27,抗生素,北京
2020-01-13,2020-01-25,抗生素,上海
2020-01-15,2020-01-24,抗生素,福建
2020-01-18,2020-02-10,抗生素,江苏
2020-01-15,2020-01-31,抗生素,普通地区
2020-02-01,2020-02-03,抗生素,内蒙古
2020-01-17,2020-02-01,抗生素,黑龙江
2020-01-15,2020-02-05,抗生素,贵州
2020-01-15,2020-02-09,抗生素,山西
2020-01-28,2020-02-04,抗生素,辽宁
2020-01-15,2020-02-05,抗生素,广西
2020-01-22,2020-01-31,抗生素,河北
2020-01-24,2020-01-27,抗生素,天津
2020-01-18,2020-01-29,抗生素,云南
2020-02-01,2020-03-04,抗生素,宁夏
2020-01-26,2020-02-18,抗生素,吉林
2020-01-24,2020-02-24,抗生素,甘肃
2020-01-15,2020-01-20,抗生素,边远地区
2020-01-18,2020-02-01,抗生素,海南
2020-01-16,2020-02-04,抗生素,新疆
2020-01-18,2020-01-20,抗生素,青海
2020-01-25,2020-02-09,抗生素,西藏
2019-12-15,2020-01-31,水果,湖北
2020-01-14,2020-02-02,水果,环鄂地区
2020-01-14,2020-02-07,水果,河南
2020-01-14,2020-01-30,水果,湖南
2020-01-14,2020-02-01,水果,江西
2020-01-19,2020-01-31,水果,陕西
2020-01-20,2020-02-04,水果,安徽
2020-01-14,2020-02-18,水果,重庆
2020-01-16,2020-02-05,水果,四川
2020-01-12,2020-02-01,水果,沿海发达地区
2020-01-12,2020-02-03,水果,广东
2020-01-16,2020-02-03,水果,浙江
2020-01-14,2020-02-01,水果,山东
2020-01-13,2020-01-30,水果,北京
2020-01-13,2020-02-25,水果,上海
2020-01-19,2020-02-02,水果,福建
2020-01-15,2020-02-02,水果,江苏
2020-01-15,2020-02-03,水果,普通地区
2020-01-20,2020-02-06,水果,内蒙古
2020-01-19,2020-02-01,水果,黑龙江
2020-01-24,2020-02-02,水果,贵州
2020-01-23,2020-02-04,水果,山西
2020-01-18,2020-01-30,水果,辽宁
2020-01-15,2020-02-17,水果,广西
2020-01-15,2020-01-31,水果,河北
2020-01-23,2020-02-04,水果,天津
2020-01-16,2020-02-08,水果,云南
2020-01-24,2020-02-08,水果,宁夏
2020-01-20,2020-03-03,水果,吉林
2020-01-20,2020-02-02,水果,甘肃
2020-01-15,2020-02-09,水果,边远地区
2020-01-15,2020-02-09,水果,海南
2020-01-16,2020-02-05,水果,新疆
2020-01-18,2020-02-10,水果,青海
2020-01-22,2020-02-11,水果,西藏
2019-12-02,2020-01-29,酒精,湖北
2020-01-14,2020-02-02,酒精,环鄂地区
2020-01-14,2020-02-02,酒精,河南
2020-01-14,2020-02-02,酒精,湖南
2020-01-21,2020-02-01,酒精,江西
2020-01-19,2020-02-02,酒精,陕西
2020-01-15,2020-02-03,酒精,安徽
2020-01-20,2020-02-01,酒精,重庆
2020-01-14,2020-02-03,酒精,四川
2020-01-12,2020-02-01,酒精,沿海发达地区
2020-01-12,2020-02-03,酒精,广东
2020-01-14,2020-02-03,酒精,浙江
2020-01-14,2020-02-01,酒精,山东
2020-01-13,2020-02-02,酒精,北京
2020-01-19,2020-02-17,酒精,上海
2020-01-15,2020-01-31,酒精,福建
2020-01-19,2020-02-03,酒精,江苏
2020-01-15,2020-02-01,酒精,普通地区
2020-01-25,2020-02-02,酒精,内蒙古
2020-01-15,2020-02-01,酒精,黑龙江
2020-01-19,2020-02-07,酒精,贵州
2020-01-20,2020-02-03,酒精,山西
2020-01-19,2020-02-03,酒精,辽宁
2020-01-15,2020-02-01,酒精,广西
2020-01-15,2020-01-27,酒精,河北
2020-01-22,2020-02-02,酒精,天津
2020-01-20,2020-02-03,酒精,云南
2020-01-19,2020-02-12,酒精,宁夏
2020-01-15,2020-02-03,酒精,吉林
2020-01-16,2020-02-04,酒精,甘肃
2020-01-20,2020-02-01,酒精,边远地区
2020-01-20,2020-02-01,酒精,海南
2020-01-24,2020-02-02,酒精,新疆
2020-01-21,2020-02-02,酒精,青海
2020-01-22,2020-02-04,酒精,西藏
2019-12-13,2020-01-23,勤洗手,湖北
2020-01-14,2020-01-28,勤洗手,环鄂地区
2020-01-18,2020-01-30,勤洗手,河南
2020-01-17,2020-01-28,勤洗手,湖南
2020-01-14,2020-01-23,勤洗手,江西
2020-01-19,2020-01-26,勤洗手,陕西
2020-01-17,2020-01-31,勤洗手,安徽
2020-01-18,2020-01-23,勤洗手,重庆
2020-01-18,2020-01-29,勤洗手,四川
2020-01-12,2020-01-28,勤洗手,沿海发达地区
2020-01-12,2020-01-30,勤洗手,广东
2020-01-17,2020-01-31,勤洗手,浙江
2020-01-14,2020-01-26,勤洗手,山东
2020-01-17,2020-01-28,勤洗手,北京
2020-01-13,2020-01-30,勤洗手,上海
2020-01-19,2020-01-31,勤洗手,福建
2020-01-18,2020-02-24,勤洗手,江苏
2020-01-17,2020-01-29,勤洗手,普通地区
2020-01-18,2020-01-29,勤洗手,内蒙古
2020-01-17,2020-02-02,勤洗手,黑龙江
2020-01-18,2020-01-30,勤洗手,贵州
2020-01-19,2020-01-27,勤洗手,山西
2020-01-19,2020-01-31,勤洗手,辽宁
2020-01-18,2020-02-01,勤洗手,广西
2020-01-19,2020-01-30,勤洗手,河北
2020-01-18,2020-02-05,勤洗手,天津
2020-01-18,2020-02-07,勤洗手,云南
2020-01-19,2020-01-29,勤洗手,宁夏
2020-01-18,2020-01-28,勤洗手,吉林
2020-01-19,2020-01-31,勤洗手,甘肃
2020-01-18,2020-01-31,勤洗手,边远地区
2020-01-18,2020-01-29,勤洗手,海南
2020-01-20,2020-01-26,勤洗手,新疆
2020-01-20,2020-02-02,勤洗手,青海
2020-01-22,2020-01-31,勤洗手,西藏
2020-01-17,2020-01-31,双黄连,湖北
2020-01-24,2020-01-31,双黄连,环鄂地区
2020-01-24,2020-01-31,双黄连,河南
2020-01-28,2020-01-31,双黄连,湖南
2020-01-29,2020-01-31,双黄连,江西
2020-01-29,2020-01-31,双黄连,陕西
2020-01-29,2020-02-01,双黄连,安徽
2020-01-28,2020-01-31,双黄连,重庆
2020-01-29,2020-01-31,双黄连,四川
2020-01-18,2020-01-31,双黄连,沿海发达地区
2020-01-28,2020-01-31,双黄连,广东
2020-01-18,2020-01-31,双黄连,浙江
2020-01-28,2020-01-31,双黄连,山东
2020-01-26,2020-01-31,双黄连,北京
2020-01-28,2020-01-31,双黄连,上海
2020-01-29,2020-01-31,双黄连,福建
2020-01-28,2020-01-31,双黄连,江苏
2020-01-17,2020-01-31,双黄连,普通地区
2020-01-29,2020-02-01,双黄连,内蒙古
2020-01-21,2020-01-31,双黄连,黑龙江
2020-01-29,2020-02-01,双黄连,贵州
2020-01-29,2020-01-31,双黄连,山西
2020-01-28,2020-01-31,双黄连,辽宁
2020-01-29,2020-02-01,双黄连,广西
2020-01-28,2020-01-31,双黄连,河北
2020-01-20,2020-02-03,双黄连,天津
2020-01-29,2020-02-01,双黄连,云南
2020-01-29,2020-01-31,双黄连,宁夏
2020-01-29,2020-01-31,双黄连,吉林
2020-01-18,2020-01-31,双黄连,甘肃
2020-01-28,2020-01-31,双黄连,边远地区
2020-01-29,2020-01-31,双黄连,海南
2020-01-29,2020-01-31,双黄连,新疆
2020-01-29,2020-02-24,双黄连,青海
2020-01-28,2020-01-31,双黄连,西藏
2019-12-01,2020-01-26,药品,湖北
2020-01-14,2020-01-28,药品,环鄂地区
2020-01-14,2020-01-29,药品,河南
2020-01-14,2020-01-27,药品,湖南
2020-01-14,2020-01-28,药品,江西
2020-01-15,2020-01-29,药品,陕西
2020-01-15,2020-01-28,药品,安徽
2020-01-14,2020-02-01,药品,重庆
2020-01-14,2020-01-26,药品,四川
2020-01-12,2020-01-29,药品,沿海发达地区
2020-01-12,2020-01-29,药品,广东
2020-01-14,2020-01-31,药品,浙江
2020-01-14,2020-01-28,药品,山东
2020-01-13,2020-01-31,药品,北京
2020-01-13,2020-01-31,药品,上海
2020-01-15,2020-01-30,药品,福建
2020-01-15,2020-01-29,药品,江苏
2020-01-15,2020-01-29,药品,普通地区
2020-01-16,2020-01-29,药品,内蒙古
2020-01-19,2020-01-31,药品,黑龙江
2020-01-16,2020-01-30,药品,贵州
2020-01-19,2020-02-02,药品,山西
2020-01-15,2020-01-31,药品,辽宁
2020-01-15,2020-01-28,药品,广西
2020-01-15,2020-01-29,药品,河北
2020-01-18,2020-02-01,药品,天津
2020-01-16,2020-01-29,药品,云南
2020-01-20,2020-02-03,药品,宁夏
2020-01-15,2020-01-30,药品,吉林
2020-01-16,2020-01-29,药品,甘肃
2020-01-15,2020-01-30,药品,边远地区
2020-01-15,2020-02-01,药品,海南
2020-01-16,2020-01-27,药品,新疆
2020-01-18,2020-01-31,药品,青海
2020-01-22,2020-02-05,药品,西藏
2020-01-17,2020-01-25,温度计,湖北
2020-01-19,2020-01-26,温度计,环鄂地区
2020-01-20,2020-01-24,温度计,河南
2020-01-19,2020-01-27,温度计,湖南
2020-01-20,2020-02-01,温度计,江西
2020-01-21,2020-02-02,温度计,陕西
2020-01-23,2020-01-27,温度计,安徽
2020-01-25,2020-02-07,温度计,重庆
2020-01-19,2020-01-22,温度计,四川
2020-01-18,2020-01-29,温度计,沿海发达地区
2020-01-20,2020-02-03,温度计,广东
2020-01-20,2020-01-29,温度计,浙江
2020-01-19,2020-01-28,温度计,山东
2020-01-18,2020-01-31,温度计,北京
2020-01-20,2020-02-06,温度计,上海
2020-01-21,2020-02-02,温度计,福建
2020-01-20,2020-01-29,温度计,江苏
2020-01-18,2020-01-30,温度计,普通地区
2020-01-29,2020-02-10,温度计,内蒙古
2020-01-20,2020-01-23,温度计,黑龙江
2020-01-24,2020-01-27,温度计,贵州
